start_date;finish_date;is_active;parkingfid;auto_ownerfid
2020-08-08 17:29:41;2021-12-26 04:32:53;False;67;85
2020-12-30 02:32:58;2022-06-07 11:14:08;False;84;53
2022-05-26 00:51:40;2022-10-11 13:59:01;False;93;91
2021-06-08 04:14:12;2023-01-26 06:06:22;False;91;43
2023-06-29 07:21:49;2023-11-06 06:32:39;False;30;82
2024-05-12 13:14:29;2024-05-14 04:36:50;False;76;24
2024-01-11 18:41:02;2024-03-07 12:37:45;False;27;23
2023-07-04 12:15:38;2023-11-25 09:22:39;False;2;65
2023-02-16 03:59:40;2024-04-02 15:54:56;False;33;29
2021-05-26 09:23:39;2024-01-11 23:39:20;False;95;71
2023-02-13 05:24:00;2024-05-04 14:03:54;False;12;95
2022-10-02 18:52:17;2023-10-31 00:26:22;False;87;65
2020-04-24 07:35:11;2021-09-04 18:40:07;False;95;87
2020-02-12 15:27:33;2020-09-19 09:22:38;False;95;5
2022-07-04 18:04:01;2023-05-12 02:09:20;False;34;70
2021-06-23 13:58:47;2023-01-29 06:05:14;False;95;71
2022-04-28 13:50:56;2023-11-08 10:58:56;False;18;8
2021-07-21 12:29:38;2022-02-20 05:30:57;False;27;98
2020-05-12 14:24:49;2023-07-30 23:50:11;False;58;100
2020-06-10 03:32:14;2021-02-22 04:35:51;False;3;29
2023-03-20 04:41:38;2023-10-14 09:45:23;False;83;67
2021-04-09 23:42:22;2022-07-04 05:40:50;True;56;38
2022-11-25 04:12:33;2023-05-16 09:07:42;False;31;56
2023-10-27 11:37:28;2023-12-06 19:30:33;True;77;36
2023-09-14 07:17:13;2024-01-14 20:27:24;False;52;31
2021-11-14 08:27:40;2024-03-08 01:15:15;True;18;85
2020-01-17 20:44:01;2020-07-01 22:54:59;False;40;62
2022-04-29 19:40:17;2024-01-19 03:25:21;False;10;79
2023-08-11 15:04:09;2024-04-21 17:56:15;False;12;36
2023-05-25 11:02:53;2023-07-13 02:41:58;False;57;74
2023-11-24 11:36:59;2024-05-24 22:11:27;False;64;58
2023-02-11 19:22:46;2024-05-21 21:41:47;False;19;18
2022-05-07 07:10:24;2024-04-01 07:34:25;False;26;32
2023-04-13 19:41:53;2023-12-16 22:40:17;False;54;97
2024-05-25 16:53:55;2024-05-30 04:30:41;False;88;27
2024-03-15 11:01:06;2024-03-25 14:58:51;False;90;4
2022-05-14 20:37:01;2024-05-28 14:02:49;False;49;77
2022-01-17 22:54:33;2022-12-21 21:52:39;False;62;3
2022-09-06 04:06:10;2023-01-17 23:45:48;True;61;79
2022-02-15 00:27:26;2024-04-28 17:51:15;False;63;30
2023-03-12 16:14:03;2023-08-10 07:33:15;False;50;81
2021-02-17 18:24:40;2021-03-12 08:52:22;False;44;62
2021-07-14 05:35:03;2022-10-28 16:43:23;False;2;82
2024-04-18 12:07:20;2024-04-18 23:38:19;False;1;55
2023-11-05 07:19:35;2023-11-22 09:12:16;False;73;74
2020-09-22 23:54:03;2021-01-01 14:58:25;True;15;56
2023-08-18 11:28:18;2023-11-04 23:45:09;False;83;14
2022-05-03 15:59:40;2023-09-03 10:46:16;False;89;77
2022-03-18 05:52:15;2023-05-02 02:09:55;False;36;66
2020-12-15 00:42:38;2022-11-21 19:39:50;False;78;69
2020-06-21 20:51:45;2022-11-01 12:39:08;False;31;70
2022-10-14 20:52:32;2022-11-14 15:56:09;False;94;61
2023-01-24 12:28:11;2023-12-26 16:09:30;False;59;49
2024-02-02 09:34:50;2024-05-25 04:54:29;False;84;57
2023-02-18 23:05:37;2024-04-18 11:41:25;False;1;94
2022-01-30 09:52:11;2024-05-16 16:51:49;False;65;56
2021-06-18 07:51:05;2023-01-31 21:33:51;False;48;83
2024-05-04 19:56:29;2024-05-18 16:27:18;False;13;40
2021-10-16 20:59:45;2022-08-09 05:37:50;False;1;57
2023-08-17 10:03:08;2023-11-08 03:54:47;False;39;9
2021-01-06 10:52:17;2021-05-02 12:00:34;True;27;58
2021-08-11 13:25:12;2022-01-26 08:23:42;False;42;35
2023-08-20 07:18:55;2024-01-06 06:13:10;True;81;48
2022-12-16 17:14:25;2023-07-10 05:46:22;False;51;99
