start_date;finish_date;is_active;parkingfid;auto_ownerfid
2021-11-19 13:43:23;2023-12-03 18:46:33;False;99;81
2024-04-24 08:37:52;2024-05-29 14:41:20;False;77;27
2020-08-14 18:20:13;2022-05-06 14:35:01;False;88;49
2021-02-04 06:52:23;2022-05-18 11:47:37;False;39;2
2023-09-23 11:29:30;2024-05-04 09:00:27;False;42;88
2023-07-07 15:10:06;2024-01-18 18:08:43;True;43;9
2021-02-23 20:17:40;2022-04-05 11:46:57;False;100;28
2020-11-22 22:00:34;2021-04-22 14:11:03;False;86;60
2022-09-30 02:20:33;2022-11-13 03:56:20;True;25;85
2023-05-13 10:58:31;2023-07-31 02:47:42;False;63;8
2021-11-12 18:45:54;2022-11-18 19:12:25;False;74;83
2023-09-07 22:14:54;2023-10-17 07:40:30;False;99;68
2022-12-21 08:28:20;2023-07-23 20:25:26;False;23;2
2022-03-22 16:31:44;2023-01-01 13:06:21;False;54;25
2020-10-21 04:19:39;2021-12-14 17:46:38;False;78;4
2020-02-23 13:17:19;2023-06-19 19:08:09;False;44;81
2023-06-06 11:47:09;2024-02-28 15:19:16;False;44;85
2021-08-28 22:08:57;2023-02-16 15:00:47;False;30;3
2022-01-13 21:04:10;2022-09-24 15:37:08;True;32;80
2023-06-07 07:15:46;2023-07-17 09:58:20;False;10;59
2024-02-05 08:17:18;2024-03-01 18:22:39;False;83;54
2021-01-29 07:22:53;2023-08-28 05:45:45;False;91;28
2022-01-06 23:47:16;2024-05-18 13:35:53;False;74;68
2020-05-06 23:25:52;2024-02-21 21:26:59;False;10;83
2023-03-15 09:54:41;2023-10-26 09:07:53;False;7;22
2024-01-12 17:51:13;2024-03-27 02:16:09;False;32;19
2021-08-01 11:16:03;2021-11-03 14:22:31;False;38;98
2020-05-10 05:38:30;2021-02-01 21:33:47;False;21;66
2020-01-31 11:16:48;2020-02-18 03:18:51;False;89;58
2023-11-17 00:26:08;2023-12-09 02:03:27;False;54;49
2022-05-09 13:41:55;2023-06-18 05:41:58;False;62;51
2021-09-21 05:04:04;2024-02-07 10:50:34;True;72;44
2022-04-10 18:30:09;2024-05-17 13:49:17;False;73;23
2024-02-13 00:16:30;2024-03-26 09:48:46;False;17;19
2020-08-16 10:58:46;2022-06-25 19:15:59;False;97;85
2021-10-30 22:52:48;2023-01-23 19:54:46;False;5;17
2020-04-18 10:49:30;2020-11-23 10:04:44;True;72;83
2022-10-02 05:52:52;2024-05-09 00:47:18;False;78;57
2023-09-12 06:29:43;2023-11-09 10:07:54;False;87;6
2023-12-12 23:18:57;2024-02-20 07:55:28;False;24;84
2022-03-28 22:34:18;2022-10-02 00:48:26;False;19;99
2024-05-22 03:53:03;2024-05-26 07:20:29;False;61;57
2022-06-30 04:51:59;2022-11-17 08:18:39;False;16;41
2024-01-16 14:12:12;2024-03-22 16:25:10;False;49;1
2020-10-11 02:57:44;2021-07-19 11:55:10;False;6;34
2021-10-15 01:15:30;2022-10-03 02:44:35;False;10;75
2020-08-05 10:43:01;2022-05-01 03:19:36;False;71;41
2022-08-06 20:39:17;2023-07-15 04:58:11;False;56;55
2023-12-16 02:00:28;2024-02-09 07:29:59;False;42;13
2023-08-09 09:30:33;2023-08-13 21:18:23;False;48;42
2020-04-19 19:51:38;2020-08-29 11:17:47;False;84;84
2022-04-20 14:47:17;2024-04-06 17:15:58;False;48;35
2022-12-10 02:37:18;2023-04-21 07:37:48;False;90;4
2024-05-23 13:34:26;2024-05-24 14:01:24;False;41;53
2023-09-03 04:01:38;2024-04-18 01:07:15;False;12;76
2024-03-09 22:12:52;2024-05-29 08:41:13;False;40;39
2024-03-17 04:35:59;2024-05-01 17:40:00;False;37;83
2021-05-20 10:28:17;2023-06-22 16:27:11;False;19;85
2024-03-27 08:48:04;2024-04-22 20:41:28;False;11;9
2022-06-22 10:34:56;2022-10-12 05:31:13;False;23;49
2020-07-31 03:17:43;2021-11-26 01:25:28;False;58;88
2020-03-28 15:24:50;2022-01-09 05:27:09;True;36;12
2024-05-27 13:44:16;2024-05-28 06:18:07;False;90;31
2022-11-27 00:43:09;2024-01-17 20:59:09;False;1;50
2021-05-26 20:56:04;2022-10-18 18:33:46;False;60;60
2021-01-09 12:02:15;2021-05-16 11:26:06;False;75;24
2024-03-30 05:02:59;2024-05-07 16:56:52;False;81;9
2023-02-10 20:33:59;2024-02-02 03:16:39;False;70;48
2021-10-09 22:06:55;2021-11-08 14:41:13;False;86;82
